algo,time_db,time_identification,accuracy,precision,recall,fpr
inception hash,33.71701502799988,"[1539.6829030513763, 1515.6521999835968, 1517.284600019455, 1522.1763000488281, 1522.858880996704, 1522.4734737873077, 1520.5058360099792, 1519.8672938346863, 1521.410327911377, 1521.3980300426483]","[0.5437931034482759, 0.636551724137931, 0.7366379310344827, 0.7862068965517242, 0.709051724137931, 0.5482758620689655, 0.5028448275862069, 0.5001724137931034, 0.5, 0.5]","[1.0, 1.0, 0.975736568457539, 0.8853296193129062, 0.6619906479625919, 0.5258445634114823, 0.5014272121788773, 0.5000862217623728, 0.5, 0.5]","[0.08758620689655172, 0.2731034482758621, 0.4853448275862069, 0.6575862068965517, 0.8543103448275862, 0.9822413793103448, 0.9994827586206897, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.01206896551724138, 0.08517241379310345, 0.4362068965517241, 0.8856896551724138, 0.9937931034482759, 0.9996551724137931, 1.0, 1.0]"
simclr hash,51.973172187805176,"[2453.4835669994354, 2462.437469959259, 2459.3769137859344, 2455.3866770267487, 2457.377790927887, 2458.1445031166077, 2464.2656111717224, 2459.4317688941956, 2476.9995577335358, 2473.0146958827972]","[0.5523275862068966, 0.6612931034482759, 0.7396551724137931, 0.7923275862068966, 0.8256034482758621, 0.7349137931034483, 0.5685344827586207, 0.5119827586206896, 0.5, 0.5]","[1.0, 1.0, 1.0, 0.9840137025406794, 0.9358412185552735, 0.6957333716420054, 0.5380710659898477, 0.5060948873103569, 0.5, 0.5]","[0.1046551724137931, 0.3225862068965517, 0.4793103448275862, 0.5943103448275862, 0.6991379310344827, 0.835, 0.9686206896551725, 0.995, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.009655172413793104, 0.04793103448275862, 0.36517241379310345, 0.831551724137931, 0.9710344827586207, 1.0, 1.0]"
